Sub-Channel,Inlet Mass Flow Rate [F0],Inlet Enthalpy [H0],Outlet Mass Flow Rate [F1 at last Node],Outlet Enthalpy [H1 at last Node],Heat Generated [C1 at last Node],H0 + C1
1,0.090576301,1100.7,0.09057618536444065,1100.893316047661,0.013808644730367343,1100.7138086447303
2,0.090576301,1100.7,0.0905761878656603,1100.893316045343,0.013808644349047989,1100.713808644349
3,0.331301059,1100.7,0.3313012644029217,1100.8057197458115,0.007551170252892485,1100.7075511702528
4,0.1810780788,1100.7,0.18107776311356336,1100.8934072121392,0.01381567901816887,1100.7138156790181
5,0.331301059,1100.7,0.3313012645834345,1100.8057197457572,0.007551170248778154,1100.7075511702487
6,0.331301059,1100.7,0.33130111936092627,1100.805717575749,0.007551173558757564,1100.7075511735588
7,0.278663181,1100.7,0.27866310360182317,1100.8256833385253,0.008977551100843487,1100.7089775511008
8,0.39238281,1100.7,0.39238304283254566,1100.7892648455068,0.0063756890064503805,1100.7063756890066
9,0.278663181,1100.7,0.278663072188895,1100.8256833516484,0.008977552112858339,1100.7089775521129
10,0.331301059,1100.7,0.33130112571120357,1100.8057175731035,0.00755117341401901,1100.707551173414
11,0.250849063,1100.7,0.2508490285821569,1100.8384316946242,0.009888035046384776,1100.7098880350463
12,0.501698126,1100.7,0.5016981338858358,1100.838432258791,0.009888033534270126,1100.7098880335343
13,0.501698126,1100.7,0.5016981431086267,1100.8384322583606,0.009888033352496947,1100.7098880333526
14,0.25084906,1100.7,0.2508490291979662,1100.8384316954393,0.009888035022110638,1100.7098880350222
,4.1422384638,,4.1422384638,15411.697273388461,0.1355205847474461,15409.935520584748
